[0.044s] Invoking command in '/home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one': /usr/bin/cmake --build /home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one -- -j8 -l8
[0.072s] Invoked command in '/home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one' returned '0': /usr/bin/cmake --build /home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one -- -j8 -l8
[0.108s] Invoking command in '/home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one': /usr/bin/cmake --install /home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one
[0.115s] -- Install configuration: ""
[0.124s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/launch/online_async_launch.py
[0.124s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/launch/rplidar.launch.py
[0.125s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/launch/rsp.launch.py
[0.126s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/worlds/empty.world
[0.126s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/worlds/obstacles.world
[0.126s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/ament_index/resource_index/package_run_dependencies/articubot_one
[0.127s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/ament_index/resource_index/parent_prefix_path/articubot_one
[0.127s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh
[0.127s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv
[0.127s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/environment/path.sh
[0.128s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/environment/path.dsv
[0.128s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/local_setup.bash
[0.128s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/local_setup.sh
[0.128s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/local_setup.zsh
[0.128s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/local_setup.dsv
[0.128s] -- Symlinking: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/package.dsv
[0.134s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/ament_index/resource_index/packages/articubot_one
[0.134s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig.cmake
[0.134s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig-version.cmake
[0.134s] -- Up-to-date symlink: /home/boppermon/ngcp_robot/src/robot-_URDF/install/articubot_one/share/articubot_one/package.xml
[0.137s] Invoked command in '/home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one' returned '0': /usr/bin/cmake --install /home/boppermon/ngcp_robot/src/robot-_URDF/build/articubot_one
